# Event Log Opened on 2019-03-26T19:21:22.832926
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0001 58568.806555914191 69686 430986.063   4.108752   1.002416
0002 58568.806655669505 69695  49845.218   4.089274   0.995568
0003 58568.806677738379 69696 956595.965   4.023493   1.002042
0004 58568.806687160402 69697 770658.764   3.961044   0.998233
0005 58568.806690403253 69698  50841.060   4.044866   0.997373
0006 58568.806701579073 69699  16431.905   3.985621   0.998205
0007 58568.806702674861 69699 111108.016   3.953669   1.001860
0008 58568.806720292916 69700 633307.942   3.971800   1.003211
0009 58568.806724762500 69701  19480.033   3.976388   0.998692
0010 58568.806773771830 69705 253886.129   3.912103   0.997521
