# Event Log Opened on 2019-03-26T13:54:00.117525
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0001 58568.579216416438 50044 298380.218   4.081070   0.999194
0002 58568.579223390640 50044 900951.255   3.916711   1.003597
0003 58568.579244452281 50046 720677.102   3.902310   1.000479
0004 58568.579290808841 50050 725883.828   4.036599   0.999108
0005 58568.579346871993 50055 569740.199   3.937296   0.999551
0006 58568.579385896759 50058 941479.982   3.976388   1.002148
0007 58568.579391449653 50059 421250.061   4.097387   1.000560
0008 58568.579393683613 50059 614264.127   4.057595   1.002349
0009 58568.579444586052 50064  12234.891   3.912103   0.997694
0010 58568.579492767385 50068 175102.072   4.038296   0.999008
0011 58568.579521521293 50070 659439.708   4.254216   1.000699
0012 58568.579544971457 50072 685533.878   4.050876   1.000430
0013 58568.579578721212 50075 601512.706   4.086181   0.999298
0014 58568.579580316473 50075 739343.255   4.214091   1.001664
0015 58568.579647094513 50081 508965.953   4.167759   0.996462
0016 58568.579857957746 50099 727549.241   4.157266   1.000580
