# Event Log Opened on 2019-03-26T13:43:09.032988
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0001 58568.571679347857 49393  95654.831   3.916711   0.999304
0002 58568.571735820216 49397 974866.698   3.951846   1.001151
0003 58568.571745135487 49398 779706.052   4.036599   1.002143
0004 58568.571774260119 49401 296074.293   4.089274   0.995459
0005 58568.571786318091 49402 337883.040   3.980180   0.997019
0006 58568.571812195878 49404 573723.860   4.044866   0.998361
0007 58568.571819894620 49405 238895.142   3.946434   1.002702
0008 58568.571824307706 49405 620185.821   3.953669   1.001400
0009 58568.571857503266 49408 488282.189   4.097387   0.998693
0010 58568.571910339968 49413  53373.224   4.074866   0.998202
0011 58568.571927994562 49414 578730.194   3.912103   0.998350
0012 58568.571945207346 49416  65914.719   3.917768   0.997041
0013 58568.571955173276 49416 926971.078   4.081171   0.996400
0014 58568.571984442220 49419 455807.819   3.919997   1.004664
0015 58568.572008952455 49421 573492.093   4.254216   0.999608
0016 58568.572018169456 49422 369840.997   4.065246   1.001336
0017 58568.572026327281 49423  74677.121   3.980850   0.999375
0018 58568.572034583449 49423 788009.980   4.050876   0.999551
0019 58568.572044087385 49424 609150.039   3.980979   1.004935
0020 58568.572048647256 49425   3122.957   3.977471   1.004008
0021 58568.572072051611 49427  25259.193   4.086181   0.999298
0022 58568.572142056750 49433  73703.176   4.167759   1.001749
