# Event Log Opened on 2019-03-26T14:08:43.953474
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0001 58568.589453874876 50928 814789.304   3.948511   1.001823
0002 58568.589499727081 50932 776419.772   3.951846   0.997652
0003 58568.589566190836 50938 518888.247   4.023493   1.002373
0004 58568.589576873368 50939 441859.000   3.961044   0.993397
0005 58568.589589325056 50940 517684.864   3.946434   1.003632
0006 58568.589593679215 50940 893884.166   3.953669   1.001662
0007 58568.589613770971 50942 629811.936   3.971800   1.000164
0008 58568.589618112164 50943   4890.997   3.976388   0.997396
0009 58568.589625805980 50943 669636.687   4.057595   1.004346
0010 58568.589636032804 50944 553234.288   3.983339   0.995259
0011 58568.589760054085 50955 268672.924   4.050876   1.001094
0012 58568.589851566205 50963 175320.090   4.127906   1.000685
0013 58568.589900434330 50967 397526.116   3.756409   0.996864
0014 58568.589900899096 50967 437681.928   3.723330   1.001975
0015 58568.589905488858 50967 834237.311   3.733460   0.999041
0016 58568.589907768728 50968  31218.112   3.621725   0.995853
0017 58568.589908222733 50968  70444.162   3.630045   0.998553
0018 58568.589909399700 50968 172134.040   3.652654   1.000333
0019 58568.589910186281 50968 240094.720   3.410721   1.000462
0020 58568.589911318290 50968 337900.215   3.734972   1.000465
0021 58568.589911404211 50968 345323.857   3.315115   1.003067
0022 58568.589911739320 50968 374277.255   3.343363   0.999035
0023 58568.589912141004 50968 408982.735   3.601263   1.004661
0024 58568.589912997915 50968 483019.876   3.378596   1.002462
0025 58568.589913715485 50968 545017.880   3.367675   0.995666
0026 58568.589914683835 50968 628683.314   3.501288   0.998789
0027 58568.589914903336 50968 647648.208   3.318668   0.999397
0028 58568.589915254830 50968 678017.310   3.325592   0.998505
0029 58568.589915470890 50968 696684.856   3.301067   0.996594
0030 58568.589916142977 50968 754753.214   3.288990   1.004541
0031 58568.589916405057 50968 777396.926   3.214581   0.995217
0032 58568.589916995741 50968 828432.029   3.812082   1.002332
0033 58568.589917774349 50968 895703.717   3.575340   1.000026
0034 58568.589918096666 50968 923551.962   3.120149   0.999467
0035 58568.589918477584 50968 956463.295   3.472427   1.000128
0036 58568.589918738762 50968 979029.055   3.116827   0.999485
0037 58568.589919060963 50969   6867.241   3.367533   0.996385
0038 58568.589919492006 50969  44109.294   3.108986   0.999893
0039 58568.589919706450 50969  62637.282   3.117383   0.995861
0040 58568.589920299040 50969 113837.089   3.113800   1.000493
0041 58568.589920572580 50969 137470.913   3.382466   1.004602
0042 58568.589920892511 50969 165112.963   3.154933   1.004111
0043 58568.589921331099 50969 203006.919   3.155062   0.999767
0044 58568.589921592640 50969 225604.110   3.236373   1.001249
0045 58568.589922180036 50969 276355.067   3.405637   0.996589
0046 58568.589922783962 50969 328534.300   3.652315   1.001386
0047 58568.589923135223 50969 358883.286   3.175448   1.001271
0048 58568.589923442305 50969 385415.153   3.148164   0.996949
0049 58568.589923804931 50969 416746.078   3.324025   0.999049
0050 58568.589924323242 50969 461528.072   3.159581   0.998677
0051 58568.589924954504 50969 516069.116   3.405201   1.001789
0052 58568.589925126667 50969 530944.061   3.111243   1.001213
0053 58568.589925565939 50969 568897.109   3.437246   0.998174
0054 58568.589925913577 50969 598933.030   3.246648   1.002162
0055 58568.589926179258 50969 621887.919   3.101690   0.999826
0056 58568.589926575049 50969 656084.199   3.387436   1.003875
0057 58568.589927108937 50969 702212.117   3.412960   1.002497
0058 58568.589927648922 50969 748866.837   3.135651   0.998871
0059 58568.589927829074 50969 764432.032   3.169825   0.995912
0060 58568.589928209236 50969 797277.986   3.303421   0.998756
0061 58568.589928601126 50969 831137.313   3.502646   0.996494
0062 58568.589928891583 50969 856232.731   3.418788   1.004699
0063 58568.589929330570 50969 894161.262   3.150716   0.999184
0064 58568.589929430877 50969 902827.730   3.242296   0.997004
0065 58568.589929882248 50969 941826.211   3.178878   1.000203
0066 58568.589930101560 50969 960774.761   3.092783   0.997322
0067 58568.589930450507 50969 990923.838   3.257880   0.998751
0068 58568.589930770118 50970  18538.227   3.306866   1.003989
0069 58568.589931196126 50970  55345.260   3.350563   1.003689
0070 58568.589931443741 50970  76739.229   3.113115   0.995786
0071 58568.589931851238 50970 111946.994   3.290854   1.002848
