# Event Log Opened on 2019-03-26T19:23:04.898352
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0001 58568.807757872804 69790 280210.297   3.902310   0.995861
0002 58568.807761071228 69790 556554.100   3.894230   0.998024
0003 58568.807833008832 69796 771963.080   4.089274   0.995127
0004 58568.807856131854 69798 769792.216   4.023493   0.999255
0005 58568.807859439141 69799  55541.772   3.937296   1.000045
0006 58568.807900760497 69802 625706.978   3.971800   0.999501
0007 58568.807910778145 69803 491231.729   4.057595   1.001330
0008 58568.807919584673 69804 252115.753   3.983339   0.996922
0009 58568.807939550374 69805 977152.288   4.074866   1.003937
0010 58568.807954245429 69807 246805.052   3.912103   0.998479
0011 58568.807972293267 69808 806138.276   4.081171   0.999911
0012 58568.807995772986 69810 834785.993   3.919997   1.002647
0013 58568.808006043080 69811 722122.133   4.200291   0.999745
0014 58568.808009662440 69812  34834.805   3.981738   1.000811
0015 58568.808027362793 69813 564145.309   4.065246   1.004037
0016 58568.808028392305 69813 653095.113   3.912766   0.999600
0017 58568.808042077486 69814 835494.780   4.050876   0.997195
0018 58568.808055413567 69815 987732.168   3.977471   1.001935
0019 58568.808112809755 69820 946762.804   3.989714   0.998901
0020 58568.808135356434 69822 894795.891   4.024317   1.001963
0021 58568.808140754118 69823 361155.763   4.127906   0.998770
0022 58568.808141519781 69823 427309.096   3.926196   1.005071
0023 58568.808153775652 69824 486216.297   3.999135   1.004441
0024 58568.808201653461 69828 622859.018   4.088354   0.999816
0025 58568.808287772568 69836  63549.900   3.991781   1.001600
0026 58568.808288214146 69836 101702.228   4.094181   0.998944
0027 58568.808321315926 69838 961696.019   4.045162   0.996993
