# Event Log Opened on 2019-03-26T19:02:39.870030
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0001 58568.793522875494 68560 376442.689   4.010049   1.000805
0002 58568.793556534270 68563 284560.968   4.081070   1.000613
0003 58568.793561464488 68563 710531.802   3.916711   0.998548
0004 58568.793680994459 68574  37921.219   4.044866   0.996956
0005 58568.793690063365 68574 821474.729   3.733209   0.996903
0006 58568.793695704779 68575 308892.876   3.522715   1.001315
0007 58568.793696620131 68575 387979.276   3.706257   1.006842
0008 58568.793697075380 68575 427312.823   3.512811   1.003069
0009 58568.793697408910 68575 456129.806   3.728100   0.993660
0010 58568.793698647154 68575 563114.113   3.508727   1.001299
0011 58568.793698822890 68575 578297.721   3.340632   1.002831
0012 58568.793700041155 68575 683555.775   3.334462   1.001183
0013 58568.793700626877 68575 734162.144   3.413829   0.999703
0014 58568.793700977003 68575 764413.062   3.321309   1.001905
0015 58568.793701091228 68575 774282.124   3.339314   1.003010
0016 58568.793701730392 68575 829505.874   3.299916   0.996538
0017 58568.793702187060 68575 868962.007   3.528654   0.996926
0018 58568.793702543568 68575 899764.244   3.316696   0.998423
0019 58568.793703445590 68575 977698.970   3.332358   1.001611
0020 58568.793703574585 68575 988844.177   3.545850   1.007241
0021 58568.793704044714 68576  29463.299   3.226610   1.000976
0022 58568.793704644559 68576  81289.863   3.394440   0.994617
0023 58568.793704860451 68576  99942.951   3.473501   0.998463
0024 58568.793705269818 68576 135312.277   3.249078   0.999029
0025 58568.793705446631 68576 150588.924   3.246492   0.996225
0026 58568.793705857723 68576 186107.239   3.250568   0.999777
0027 58568.793706388089 68576 231930.894   3.248634   1.001783
0028 58568.793707075449 68576 291318.773   3.132150   0.998092
0029 58568.793707352386 68576 315246.173   3.292987   1.003393
0030 58568.793707629098 68576 339154.085   3.245226   0.995889
0031 58568.793708473786 68576 412135.107   3.275344   0.998980
0032 58568.793708715719 68576 433038.106   3.030019   1.001533
0033 58568.793709039652 68576 461025.910   3.049975   0.996172
0034 58568.793709431295 68576 494863.862   3.015536   1.001512
0035 58568.793709770871 68576 524203.247   3.169308   1.004087
0036 58568.793710190686 68576 560475.305   3.077389   1.001400
0037 58568.793710543890 68576 590992.138   3.168259   1.001366
0038 58568.793710889098 68576 620818.092   3.158246   1.003026
0039 58568.793711260078 68576 652870.700   3.164895   1.002993
0040 58568.793711603415 68576 682535.093   3.270136   1.001524
0041 58568.793711976272 68576 714749.890   3.049294   0.999903
0042 58568.793712252023 68576 738574.822   2.924099   1.000866
0043 58568.793712676714 68576 775268.069   3.034447   1.001977
0044 58568.793713147927 68576 815980.859   3.232194   1.000645
0045 58568.793713778992 68576 870504.930   3.326301   1.000335
0046 58568.793714179388 68576 905099.140   3.109961   1.001182
0047 58568.793714588668 68576 940460.922   3.230575   1.000961
0048 58568.793714933541 68576 970257.959   2.935877   1.003703
0049 58568.793715407453 68577  11203.975   2.807694   0.999336
0050 58568.793715718683 68577  38094.169   3.311580   0.999054
0051 58568.793715973603 68577  60119.295   2.868699   0.996238
0052 58568.793716341519 68577  91907.244   2.817263   0.996651
0053 58568.793716631168 68577 116932.883   3.158419   0.997978
0054 58568.793716958484 68577 145213.005   3.170639   1.000019
0055 58568.793717329805 68577 177295.159   2.798988   1.001948
0056 58568.793717667104 68577 206437.779   3.022784   1.002747
0057 58568.793717981738 68577 233622.177   2.792345   1.002052
0058 58568.793718263914 68577 258002.199   2.834041   1.002954
0059 58568.793718678542 68577 293826.034   3.193142   0.997186
0060 58568.793719509355 68577 365608.234   2.752337   1.004251
0061 58568.793719968613 68577 405288.164   3.033948   0.999412
0062 58568.793720312766 68577 435022.965   2.872683   0.998773
0063 58568.793720653921 68577 464498.766   2.923460   0.998289
0064 58568.793721020185 68577 496144.013   2.644268   0.998827
0065 58568.793721357455 68577 525284.118   2.678495   0.998375
0066 58568.793721678550 68577 553026.751   3.069272   1.001492
0067 58568.793722237868 68577 601351.775   2.560935   0.997058
0068 58568.793722595801 68577 632277.226   2.612496   0.997992
0069 58568.793722951668 68577 663024.142   2.705660   0.999037
0070 58568.793723288800 68577 692152.304   2.616107   1.003934
0071 58568.793723585150 68577 717756.922   2.566125   1.000330
0072 58568.793723928626 68577 747433.260   2.680126   0.997694
0073 58568.793724280200 68577 777809.277   2.727124   0.999899
0074 58568.793725293006 68577 865315.718   2.459035   1.000992
0075 58568.793725838666 68577 912460.780   2.536047   0.999137
0076 58568.793726176293 68577 941631.689   3.378044   1.003608
0077 58568.793726528544 68577 972066.170   2.449154   1.000746
0078 58568.793726906930 68578   4758.735   2.386469   0.998263
0079 58568.793727261283 68578  35374.894   2.433290   1.004416
0080 58568.793727582801 68578  63153.988   2.610610   1.000186
0081 58568.793727904980 68578  90990.288   2.397377   0.998775
0082 58568.793728229837 68578 119057.929   2.616541   0.998838
0083 58568.793728555749 68578 147216.723   2.395131   0.998425
0084 58568.793728950564 68578 181328.764   2.780064   1.003211
0085 58568.793729284225 68578 210157.063   2.371336   1.000195
0086 58568.793729614423 68578 238686.128   2.474889   1.003730
0087 58568.793729924524 68578 265478.881   2.805173   1.003959
0088 58568.793730235011 68578 292304.953   2.343814   0.998099
0089 58568.793730637997 68578 327122.959   2.205132   1.000912
0090 58568.793730971796 68578 355963.202   2.201820   0.995562
0091 58568.793731326761 68578 386632.167   2.382830   1.003559
0092 58568.793731634156 68578 413191.065   2.321761   1.001316
0093 58568.793731993006 68578 444195.725   2.422899   1.003254
0094 58568.793732306483 68578 471280.169   2.179059   1.002850
0095 58568.793732623948 68578 498709.109   2.531792   1.004137
0096 58568.793732951170 68578 526981.059   2.260677   1.003378
0097 58568.793733330764 68578 559777.979   2.260645   0.998328
