# Event Log Opened on 2019-03-26T19:09:17.853744
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0001 58568.798159734928 68961   1097.783   4.081070   1.002121
0002 58568.798168912326 68961 794024.985   4.011383   1.000693
0003 58568.798222101381 68966 389559.302   3.951846   1.002142
0004 58568.798231770299 68967 224953.836   3.920881   1.001668
0005 58568.798283087533 68971 658762.894   3.937296   0.996704
0006 58568.798290048253 68972 260169.056   3.961044   0.997408
0007 58568.798305075092 68973 558487.929   3.953669   1.003031
0008 58568.798333522602 68976  16352.791   4.097387   0.998471
0009 58568.798341198053 68976 679511.787   4.060864   1.000047
