# Event Log Opened on 2019-03-26T14:33:50.110333
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0001 58568.606873713470 52433 888843.819   4.011383   0.998998
0002 58568.606960243393 52441 365029.127   4.089274   1.004727
0003 58568.606970109817 52442 217488.168   3.980180   0.998298
0004 58568.607039942282 52448 251013.202   4.060864   1.001048
0005 58568.607050965882 52449 203452.212   3.813583   0.997071
0006 58568.607052562525 52449 341402.203   3.674259   1.000644
0007 58568.607055929351 52449 632295.943   3.606031   0.992055
0008 58568.607058221700 52449 830354.867   3.447142   0.998519
0009 58568.607058577647 52449 861108.698   3.421686   1.003698
0010 58568.607059187387 52449 913790.217   3.428506   0.996711
0011 58568.607059412985 52449 933281.913   3.757657   1.003577
0012 58568.607060028946 52449 986500.922   3.474293   1.003903
0013 58568.607060359893 52450  15094.737   3.323098   0.999713
0014 58568.607060751805 52450  48955.949   3.612993   0.999242
0015 58568.607061381932 52450 103398.925   3.615989   1.001462
0016 58568.607061537026 52450 116799.073   3.439420   0.998348
0017 58568.607061944109 52450 151971.006   3.326999   0.994705
0018 58568.607062103307 52450 165725.709   3.628616   1.003108
0019 58568.607062391529 52450 190628.134   3.377155   1.003575
0020 58568.607063342846 52450 272821.914   3.395788   0.999654
0021 58568.607063638585 52450 298373.727   3.299551   0.999368
0022 58568.607063889387 52450 320043.042   3.311402   0.997847
0023 58568.607064282696 52450 354024.954   3.441128   0.999836
0024 58568.607064587821 52450 380387.716   3.318678   0.998856
0025 58568.607065041120 52450 419552.787   3.280558   1.003147
0026 58568.607065423566 52450 452596.135   3.335827   0.999926
0027 58568.607065927688 52450 496152.276   3.459795   1.003358
0028 58568.607066240358 52450 523166.941   3.572416   1.000924
0029 58568.607066690070 52450 562022.091   3.573815   0.996926
0030 58568.607066824399 52450 573628.093   3.227142   1.002381
0031 58568.607067210418 52450 606980.105   3.337012   0.997160
0032 58568.607067515426 52450 633332.809   2.993901   0.996519
0033 58568.607067757126 52450 654215.692   3.247783   0.998426
0034 58568.607068035730 52450 678287.051   3.064108   1.001089
0035 58568.607068480727 52450 716734.841   3.195599   0.994133
0036 58568.607068694131 52450 735172.932   3.374885   0.997538
0037 58568.607069084523 52450 768902.758   3.119721   0.999482
0038 58568.607069382939 52450 794685.911   3.042548   0.997564
0039 58568.607069802987 52450 830978.085   3.196145   1.003421
0040 58568.607070125727 52450 858862.791   3.003026   0.998079
0041 58568.607070446655 52450 886590.965   3.054872   1.002585
0042 58568.607070783866 52450 915726.041   3.133783   0.999946
0043 58568.607071131424 52450 945755.048   2.934818   0.996107
0044 58568.607071496561 52450 977302.855   3.122680   0.999285
0045 58568.607071783452 52451   2090.238   3.094178   0.997085
0046 58568.607072157210 52451  34382.987   2.896380   0.995925
0047 58568.607072508668 52451  64748.946   3.362321   1.004404
0048 58568.607072817686 52451  91448.031   2.945830   1.002074
0049 58568.607073153747 52451 120483.782   3.122166   1.003258
0050 58568.607073436389 52451 144904.038   2.944799   0.994996
0051 58568.607073747917 52451 171820.005   3.063069   1.001284
0052 58568.607074056541 52451 198485.144   3.281634   0.997355
0053 58568.607074479063 52451 234991.057   3.021957   0.997821
0054 58568.607074789412 52451 261805.184   2.845540   1.000545
0055 58568.607075156724 52451 293540.956   2.828104   1.000144
0056 58568.607075511296 52451 324175.973   2.975677   1.003066
0057 58568.607075840242 52451 352596.912   2.966033   1.001761
0058 58568.607076139699 52451 378469.961   2.819364   1.000181
0059 58568.607076477179 52451 407628.297   3.033399   0.993149
0060 58568.607076861619 52451 440843.893   3.023998   0.998789
0061 58568.607077195556 52451 469696.080   2.847461   1.001805
0062 58568.607077552617 52451 500546.094   2.763251   0.999200
0063 58568.607077843342 52451 525664.772   3.341739   0.998216
0064 58568.607078167835 52451 553700.981   2.746874   1.001841
