# Event Log Opened on 2019-03-26T18:43:53.512825
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0001 58568.780486672891 67434  48537.794   4.010049   0.997504
0002 58568.780519402149 67436 876345.705   4.081070   1.005319
0003 58568.780524192480 67437 290230.254   3.916711   1.001650
0004 58568.780539951658 67438 651823.276   3.948511   0.999872
0005 58568.780543064975 67438 920813.845   3.902310   0.995778
0006 58568.780808067095 67461 816996.988   4.254216   1.002926
0007 58568.780811945311 67462 152074.883   3.867387   0.993709
0008 58568.780816090395 67462 510210.136   4.065246   0.997193
0009 58568.780817016050 67462 590186.694   3.912766   0.999372
0010 58568.780818864027 67462 749851.891   3.626365   0.999697
0011 58568.780820524247 67462 893294.962   3.719185   0.996513
0012 58568.780821779823 67463   1776.696   3.508516   1.000437
0013 58568.780822401422 67463  55482.903   3.853637   1.001072
0014 58568.780823021691 67463 109074.067   3.492265   0.997626
0015 58568.780824440590 67463 231666.945   3.469070   1.001487
0016 58568.780825172638 67463 294915.948   3.625444   0.998354
0017 58568.780825403897 67463 314896.729   3.545543   1.000893
0018 58568.780825828413 67463 351574.889   3.382748   1.000008
0019 58568.780826462236 67463 406337.216   3.369698   0.998304
0020 58568.780827162554 67463 466844.708   3.267839   1.002066
0021 58568.780827689654 67463 512386.102   3.283880   1.004159
0022 58568.780828166287 67463 553567.231   3.404612   1.001188
0023 58568.780828384326 67463 572405.768   3.504812   0.999034
0024 58568.780828699200 67463 599610.911   3.483428   0.997597
0025 58568.780829548370 67463 672979.176   3.533932   0.999621
0026 58568.780829824413 67463 696829.253   3.326738   0.995246
0027 58568.780830148185 67463 724803.226   3.117527   0.998842
0028 58568.780830508658 67463 755948.073   3.113437   1.000225
0029 58568.780830831529 67463 783844.095   3.090156   0.996561
0030 58568.780831585980 67463 849028.689   3.104732   0.999682
0031 58568.780831878168 67463 874273.724   3.296667   0.996499
0032 58568.780832285243 67463 909445.028   3.153598   1.001821
0033 58568.780832630626 67463 939286.070   3.104744   1.002515
0034 58568.780832837867 67463 957191.701   3.403684   0.994753
0035 58568.780833193610 67463 987927.930   3.155998   0.998982
0036 58568.780833555429 67464  19189.076   3.092632   0.996376
0037 58568.780833950324 67464  53308.032   3.262047   1.000122
0038 58568.780834307974 67464  84208.966   2.932056   1.000275
0039 58568.780834620011 67464 111168.939   3.064059   1.000644
0040 58568.780835019803 67464 145710.971   2.974813   0.999691
0041 58568.780835290971 67464 169139.857   2.937634   1.002808
0042 58568.780835677062 67464 202498.156   3.129117   1.000111
0043 58568.780836024402 67464 232508.303   2.934180   0.999660
0044 58568.780836358288 67464 261356.089   2.833104   0.998905
0045 58568.780836677295 67464 288918.301   2.905527   0.998759
0046 58568.780837026541 67464 319093.153   3.089774   1.002423
0047 58568.780837358550 67464 347778.750   3.021839   0.999636
0048 58568.780837661470 67464 373951.033   3.031226   1.000371
0049 58568.780838049504 67464 407477.179   2.880116   1.001551
0050 58568.780838400518 67464 437804.790   2.766447   0.996326
0051 58568.780838743463 67464 467435.237   2.724454   1.002167
0052 58568.780839055980 67464 494436.700   2.897477   0.997405
0053 58568.780839387211 67464 523055.032   2.711352   1.002768
0054 58568.780839790263 67464 557878.696   3.199524   1.000530
0055 58568.780840145650 67464 588584.122   2.766469   1.000262
0056 58568.780840458436 67464 615608.845   3.066383   0.998997
0057 58568.780840860265 67464 650326.897   2.648282   0.998189
0058 58568.780841275475 67464 686201.024   2.645066   1.004560
0059 58568.780841652821 67464 718803.694   2.775426   0.996452
0060 58568.780841989108 67464 747858.932   2.782126   1.001129
0061 58568.780842301421 67464 774842.793   2.734013   0.999194
0062 58568.780842626562 67464 802934.951   2.607694   1.002883
0063 58568.780842989152 67464 834262.733   2.826463   1.003030
0064 58568.780843326640 67464 863421.698   2.715329   0.999317
0065 58568.780843640729 67464 890558.948   2.701298   0.996016
0066 58568.780843983368 67464 920162.992   2.695956   1.001215
0067 58568.780844303357 67464 947810.071   2.560230   1.006070
0068 58568.780844608678 67464 974189.806   2.520847   0.999386
0069 58568.780844930130 67465   1963.242   2.576995   0.999093
0070 58568.780845262765 67465  30702.902   2.791643   1.002033
